date,FL152000005.Q,LM152010005.Q,LM155035005.Q,LM155035015.Q,LM165035005.Q,LM165015205.Q,LM165013765.Q,LM155111005.Q,FL154090005.Q,FL153020005.Q,FL153030005.Q,LM153030505.Q,FL153034005.Q,LM154022005.Q,LM153061105.Q,LM153061705.Q,LM153062005.Q,LM153063005.Q,FL154023005.Q,FL153069005.Q,FL153065005.Q,FL163066223.Q,LM153064105.Q,LM153081115.Q,LM153064205.Q,FL153040005.Q,FL153050005.Q,FL163070005.Q,FL153090005.Q,FL154190005.Q,FL163162003.Q,FL154123005.Q,FL153165105.Q,FL153166000.Q,FL153168005.Q,FL153169005.Q,FL163165505.Q,FL163170005.Q,FL543077073.Q,FL152090005.Q,FL893131573.Q,FL154023205.Q,LM154023223.Q,FL154023213.Q,LM155012605.Q,LM155012665.Q,LM165012665.Q,LM165013665.Q,FA156012005.Q,FL152090006.Q,FL155035065.Q,FL155035066.Q
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1092127,313686,229359,199326,30033,944,310,83073,778441,58145,62248,3442,0,29392,17980,95,4629,6688,64759,48491,16268,0,135486,283079,1516,49353,86476,0,4545,55109,0,53423,33422,16332,161,2787,721,851,835,1037018,ND,ND,ND,ND,177547,170531,7016,16812,194291,533.7447108722382,165904,83.23249350310546
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1142485,340071,246931,216535,30396,1043,315,91782,802414,56366,64842,3302,0,27990,17956,29,3724,6281,66995,50002,16993,0,142455,284821,3071,52104,95413,0,5055,63061,0,61273,37406,19374,177,3350,966,884,904,1079424,ND,ND,ND,ND,189268,182098,7170,16685,194338,555.4364761155507,179129,82.72519454129818
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1248246,387297,278126,243315,34811,1346,345,107480,860949,58927,67207,3035,0,28544,16948,121,5465,6010,68212,50523,17689,0,164696,301715,3344,55049,104563,0,5657,76803,0,74845,45250,23947,319,4063,1266,951,1007,1171443,ND,ND,ND,ND,216815,209093,7722,19470,214823,545.3061403658967,198065,81.40270842323737
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1366090,430932,308963,270874,38089,1592,366,120011,935158,63356,72177,2813,0,28451,16345,79,5740,6287,68597,49974,18623,0,184698,328507,3482,57777,118836,0,6463,85567,0,83447,51792,25350,550,4186,1569,1034,1086,1280523,ND,ND,ND,ND,239083,230970,8113,21708,237177,539.9017443341537,219082,80.87967099094044
1952:Q1,1385095,437115,311906,273170,38736,1634,365,123210,947980,62460,73469,2777,0,30920,17164,123,7499,6134,68481,49829,18652,0,186382,331585,3612,58445,123170,0,6679,86224,0,84061,53066,24597,550,4229,1619,1058,1105,1298871,ND,ND,ND,ND,243077,234922,8155,22160,243408,533.6189138372979,220104,80.57400153750412
1952:Q2,1411929,448848,322754,283505,39249,1682,366,124046,963081,60709,75744,2728,0,33084,16894,0,9835,6355,68618,49705,18913,0,192554,332505,3696,59153,127385,0,6905,90411,0,88204,54798,26878,533,4300,1695,1084,1123,1321518,ND,ND,ND,ND,248065,239839,8226,22356,246447,536.2281014403235,228707,80.67124036613112
1952:Q3,1427784,453488,324183,284584,39599,1697,369,127239,974296,63520,77273,2680,0,34755,18019,0,10606,6130,68829,49703,19126,0,192052,332825,3837,59892,131502,0,7131,93441,0,91189,56640,27965,466,4347,1771,1110,1142,1334343,ND,ND,ND,ND,253292,244989,8303,22578,253057,527.2895075857072,227944,80.09726477946757
1952:Q4,1436132,463998,334895,294752,40143,1728,375,127000,972134,65498,79651,2656,0,35169,18216,-1,10957,5997,69176,49887,19289,0,181107,330661,3932,60665,135627,0,7992,97890,0,95595,58416,30522,417,4404,1836,1133,1162,1338242,ND,ND,ND,ND,254730,246477,8253,22903,258904,516.8874305005231,236336,80.18130496145912
1953:Q1,1448829,472950,340387,300182,40205,1787,380,130396,975879,66253,81545,2618,0,35208,17435,52,11875,5846,69877,50258,19619,0,177850,329104,3867,61439,139907,0,8211,100207,0,97869,60006,30901,431,4618,1913,1154,1184,1348622,ND,ND,ND,ND,257805,249539,8266,22871,262968,512.8462871414073,240176,80.01012718950503
1953:Q2,1455554,481976,347238,306680,40558,1855,386,132497,973578,63017,84177,2567,0,39045,20054,135,12743,6113,69783,49897,19886,0,168575,327737,3778,62199,144271,0,8429,104699,0,102319,62225,32672,571,4864,1987,1173,1207,1350855,ND,ND,ND,ND,260974,252691,8283,23108,266799,506.31926421138013,244455,79.71012129907396
1953:Q3,1472672,493036,357332,316348,40984,1926,390,133388,979636,65644,85755,2509,0,39364,19865,209,13542,5748,69946,49926,20020,0,163841,328684,3753,62937,148566,0,8637,107229,0,104806,64205,33354,347,4850,2050,1192,1231,1365443,ND,ND,ND,ND,266027,257666,8361,23329,266957,511.4843280176024,252143,79.70431297179056
1953:Q4,1496856,493418,355919,315055,40864,1980,394,135125,1003438,66782,87886,2465,0,38681,18667,154,13873,5987,70364,50079,20285,0,177571,330215,4146,63647,152853,0,8828,110624,0,108158,65938,34614,478,4996,2132,1212,1254,1386232,ND,ND,ND,ND,267631,259300,8331,23209,267217,518.7664391350421,249117,79.070955864849
1954:Q1,1519504,498301,357485,316592,40893,2045,399,138372,1021203,65213,89888,2415,0,39020,18775,140,14386,5719,70699,50207,20492,0,188597,330434,4512,64339,157093,0,8993,110496,0,107988,67351,32744,583,5086,2224,1233,1275,1409008,ND,ND,ND,ND,269632,261318,8314,23245,269931,521.9881626776722,249241,78.72624703087887
1954:Q2,1545011,501395,361814,320732,41082,2109,404,137068,1043616,64229,92829,2355,0,38450,18010,140,14678,5622,71195,50378,20817,0,203774,330343,4895,65018,161396,0,9132,114312,0,111763,69614,34006,510,5311,2322,1255,1294,1430699,ND,ND,ND,ND,274140,265770,8370,23366,269820,530.2421675796436,251118,78.29527455944528
1954:Q3,1584701,510860,371385,329781,41604,2121,410,136944,1073841,68458,94440,2304,0,37369,16498,152,15246,5473,71729,50622,21107,0,221809,331710,5469,65687,165597,0,9269,117763,0,115171,72336,34242,581,5615,2397,1277,1315,1466938,ND,ND,ND,ND,281457,272951,8506,23727,271778,539.7559235584998,257445,78.06544343064033
1954:Q4,1607213,520894,379599,337554,42045,2160,417,138718,1086319,68863,97182,2239,0,37084,16121,147,15964,4852,72409,50986,21423,0,222894,333825,6110,66349,169935,0,9429,123092,0,120453,75356,35963,675,6047,2412,1298,1341,1484121,ND,ND,ND,ND,285717,277174,8543,24104,276713,536.3395160117601,262198,77.67586815739111
1955:Q1,1632190,527830,384467,341601,42866,2175,424,140764,1104360,68549,99274,2200,0,38748,17475,39,16484,4750,72984,51188,21796,0,229229,335803,6525,67031,174407,0,9610,126315,0,123626,78237,35702,804,6442,2441,1318,1371,1505875,ND,ND,ND,ND,292176,283541,8635,24622,282103,533.8032443723775,263364,77.09696400186182
1955:Q2,1674424,540617,394908,350860,44048,2226,432,143051,1133807,66159,101868,2107,0,40234,18056,117,17509,4552,73186,51097,22089,0,249979,336411,7186,67740,179126,0,9811,133426,0,130685,81697,38755,1386,6552,2295,1336,1405,1540998,ND,ND,ND,ND,299882,291122,8760,25283,288631,533.898906522392,269163,76.71521404548824
1955:Q3,1719114,555200,406169,360688,45481,2313,442,146276,1163914,69652,103362,1997,0,42276,19003,232,18360,4681,73478,51163,22315,0,264068,339575,7257,68498,183738,0,10012,138787,0,135989,85032,40543,1451,6701,2262,1356,1442,1580327,ND,ND,ND,ND,307099,298228,8871,26106,295107,535.5097650824135,275656,76.42505434059353
1955:Q4,1745160,565453,414487,367383,47104,2412,455,148099,1179707,70033,105783,1984,0,43368,18614,605,19174,4975,73853,51128,22725,0,265346,343803,7839,69254,188255,0,10189,144426,0,141563,87936,42949,1799,6713,2166,1381,1482,1600734,ND,ND,ND,ND,312200,303275,8925,27175,299354,534.7295412883635,279447,76.06421636276039
1956:Q1,1790019,577329,424188,375328,48860,2484,466,150191,1212690,69369,107946,1893,0,45534,20077,721,19569,5167,74568,51369,23199,0,281568,349606,8555,70104,193193,0,10354,146184,0,143246,90356,42251,1432,6770,2437,1413,1525,1643835,ND,ND,ND,ND,317925,308913,9012,28566,303616,541.4190057541971,284972,75.92612328416745
1956:Q2,1805577,588163,433166,383760,49406,2555,479,151963,1217414,67945,110925,1858,0,46872,19863,958,20436,5615,74829,51155,23674,0,272443,354354,8613,71013,198064,0,10498,151445,0,148420,93327,44281,1388,6856,2568,1452,1573,1654132,ND,ND,ND,ND,326028,316861,9167,28677,308551,536.0968788069073,290433,75.6808943089431
1956:Q3,1827461,599569,440946,390218,50728,2651,491,155481,1227892,70647,112516,1792,0,48602,20394,1115,21308,5785,75081,51105,23976,0,267405,357937,8506,71904,202861,0,10641,154832,0,151717,96174,44978,874,6905,2786,1493,1622,1672629,ND,ND,ND,ND,329543,320353,9190,29676,313182,534.0755661826315,294044,75.35377660692228
1956:Q4,1870251,608073,445773,394263,51510,2726,502,159072,1262178,71871,115230,1740,0,49060,20090,959,21900,6111,75344,51017,24327,0,287754,360826,9046,72724,207775,0,10808,159599,0,156400,98745,46580,1181,7034,2860,1530,1669,1710652,ND,ND,ND,ND,330961,321804,9157,30191,319894,534.7557521903884,295518,74.95453542432335
1957:Q1,1884572,619052,453596,401222,52374,2824,516,162116,1265520,70801,118462,1693,0,51600,21276,933,22537,6854,75288,50417,24871,0,274211,364547,9106,73468,215365,0,10979,160760,0,157483,100851,45242,1507,7006,2877,1563,1714,1723812,ND,ND,ND,ND,333488,324340,9148,30844,323789,532.3874588950349,300371,74.86404035671025
1957:Q2,1926835,630622,461358,408017,53341,2873,529,165862,1296213,68664,121985,1592,0,52610,21603,1154,22812,7041,75287,49954,25333,0,290571,367267,9687,74135,223254,0,11161,165827,0,162473,103039,47223,1972,7317,2922,1594,1760,1761008,ND,ND,ND,ND,337726,328540,9186,31567,328145,536.6554969973264,304978,74.74639537078112
1957:Q3,1928251,639377,468792,414670,54122,2952,542,167091,1288874,71303,123872,1490,0,54976,22998,1100,23526,7352,75328,49485,25843,0,264952,371022,9001,74784,230809,0,11338,168970,0,165541,105397,47971,1724,7327,3122,1625,1804,1759281,ND,ND,ND,ND,343225,333967,9258,32070,332482,529.1358348783513,309273,74.58292135915306
1957:Q4,1948078,643776,471674,417162,54512,3050,555,168497,1304302,70971,127167,1413,0,55721,23231,1463,23851,7176,75453,49170,26283,0,266362,373179,8714,75462,238362,0,11498,172075,0,168574,107374,49217,1568,7160,3255,1658,1843,1776003,ND,ND,ND,ND,344802,335577,9225,32319,331974,534.9824978640871,309788,74.26083871493569
1958:Q1,1980597,644343,468427,414465,53962,3092,571,172253,1336254,70819,130705,1388,0,56176,22603,1208,24382,7983,76047,49297,26750,0,280533,379183,9463,76183,244119,0,11639,171210,0,167639,108975,46775,762,7550,3577,1694,1877,1809387,ND,ND,ND,ND,346535,337306,9229,31755,333104,543.1898629543879,305490,73.70706814809454
1958:Q2,2011465,650043,474349,419841,54508,3155,589,171950,1361422,67287,134835,1288,0,54438,22996,824,23317,7301,76774,49235,27539,0,294974,382512,10610,76958,249989,0,11757,174780,0,171146,111142,47704,333,8111,3856,1731,1903,1836685,ND,ND,ND,ND,349973,340694,9279,32252,336028,546.5869816914255,308699,73.527597352331
1958:Q3,2069235,660430,484262,429327,54935,3205,608,172355,1408805,72779,137708,1287,0,52971,20619,798,23794,7760,77310,49142,28168,0,323831,385536,11791,77752,255963,0,11877,178356,0,174656,114035,47940,472,8280,3929,1769,1931,1890879,ND,ND,ND,ND,353189,343866,9323,32660,343668,550.2051802485178,315292,73.43866097403611
1958:Q4,2105227,670313,493819,438440,55379,3263,628,172603,1434914,73698,141266,1220,0,54143,20770,833,24616,7924,77911,49024,28887,0,333702,387266,13242,78535,261909,0,12022,184146,0,180368,117177,49490,1239,8591,3871,1809,1969,1921081,ND,ND,ND,ND,357271,347883,9388,33054,348811,550.7512210645708,321263,73.27410820180641
1959:Q1,2128285,674223,493678,438052,55626,3341,648,176556,1454062,73247,143832,1186,0,56944,22345,917,25460,8222,78234,48904,29330,0,339992,387977,14132,79331,266994,0,12193,186640,0,182564,119935,48991,781,8742,4115,2059,2017,1941645,ND,ND,ND,ND,361859,352401,9458,33193,353222,549.6954715689914,318117,72.62083040369637
1959:Q2,2163094,686600,504127,447672,56455,3414,669,178390,1476494,72429,147681,1127,0,57963,22258,1523,26068,8114,78257,48318,29939,0,351618,387551,14973,80133,272376,0,12386,193675,0,189502,123346,51878,1016,8985,4277,2099,2074,1969419,ND,ND,ND,ND,366675,357143,9532,33771,360377,546.4884664858482,324326,72.44723815650744
1959:Q3,2182386,697397,513598,456362,57236,3487,690,179622,1484989,76003,149934,1075,0,61011,23793,2011,27058,8149,77996,47682,30314,0,345702,387252,14747,80994,277689,0,12586,199890,0,195608,127007,53918,1320,8984,4379,2149,2133,1982496,ND,ND,ND,ND,371069,361474,9595,34306,362062,547.5569411919429,329355,72.16968108650589
1959:Q4,2222784,706020,521544,463647,57897,3550,710,180216,1516764,75548,152525,1031,0,64358,25512,2267,28362,8217,76515,45714,30801,0,364772,388616,15818,81956,282854,0,12770,206698,0,202312,130099,57213,1424,9206,4370,2199,2187,2016086,ND,ND,ND,ND,375628,365964,9664,34730,366634,549.8905270881692,333548,71.9400751002379
1960:Q1,2231936,720531,534527,475580,58947,3599,728,181677,1511405,73762,154522,975,0,69706,29565,1630,28972,9539,76522,45180,31342,0,344367,391557,15312,82895,288834,0,12952,207621,0,203144,132580,55757,908,9090,4809,2239,2238,2024315,ND,ND,ND,ND,378719,368884,9835,35352,371359,545.10987434446,343000,72.12246099499559
1960:Q2,2256823,726936,539185,479638,59547,3672,747,183332,1529887,72042,158156,917,0,70504,28513,1909,30072,10010,76883,44773,32110,0,350355,392611,16097,83772,295418,0,13132,214480,0,209903,135366,58622,1572,9401,4942,2289,2288,2042343,ND,ND,ND,ND,381650,371646,10004,35641,375715,543.5883841311569,344272,71.7774655052352
1960:Q3,2256756,734741,545818,485654,60164,3726,766,184431,1522015,75669,161281,873,0,69857,27973,1294,30503,10087,77909,45089,32820,0,326084,395557,15640,84539,301296,0,13310,219062,0,214457,138582,59590,1526,9679,5080,2269,2336,2037694,ND,ND,ND,ND,383017,372882,10135,35972,377847,539.2907449844329,347072,71.46487005151816
1960:Q4,2315603,737552,547589,486897,60692,3760,784,185419,1578051,77538,164461,844,0,69154,26502,1033,31007,10612,79315,45740,33575,0,364813,398553,17026,85184,307674,0,13488,224545,0,219857,141378,61248,2122,9901,5208,2309,2379,2091058,ND,ND,ND,ND,384736,374461,10275,36253,379358,551.2096492232992,345519,70.96346865969599
1961:Q1,2366909,736009,545980,484488,61492,3809,807,185413,1630900,75482,169701,803,0,67790,26023,359,30769,10639,79890,45465,34425,0,403502,400864,19440,85872,313878,0,13678,225306,0,220580,143645,59339,1795,10472,5329,2309,2417,2141603,ND,ND,ND,ND,385284,374871,10413,36863,383653,558.2135860115758,340843,70.35117484849987
1961:Q2,2395774,748133,556950,494136,62814,3863,830,186490,1647641,73819,175096,774,0,67904,24589,224,31610,11481,81431,46178,35253,0,403359,404519,20003,86665,320203,0,13869,231507,0,226650,146603,60597,2857,11139,5454,2409,2448,2164267,ND,ND,ND,ND,388602,377975,10627,37531,389432,555.7497372244703,347533,70.33144721291305
1961:Q3,2436485,759552,567010,502979,64031,3919,855,187768,1676933,76743,177733,743,0,68371,25921,244,31180,11026,81787,45777,36010,0,412972,409729,21007,87588,326199,0,14060,235782,0,230865,150179,61082,2725,11279,5600,2439,2478,2200703,ND,ND,ND,ND,390746,379938,10808,38165,396030,555.6909530729871,352800,70.14209340747824
1961:Q4,2499626,769614,576368,511054,65314,3989,882,188375,1730012,76926,182845,720,0,69387,25449,592,32506,10840,82589,45755,36834,0,443622,415778,22875,88631,332393,0,14246,242908,0,237897,154027,63435,2992,11700,5743,2499,2512,2256718,ND,ND,ND,ND,392649,381666,10983,38897,404186,558.3365301076758,357027,69.86091489353376
1962:Q1,2514005,779404,584759,518133,66626,4053,914,189678,1734601,75175,189204,677,0,69362,26353,567,31469,10973,83005,45628,37377,0,433425,420714,22981,89663,335970,0,14425,244235,0,239137,156488,62038,3202,11525,5884,2549,2549,2269770,ND,ND,ND,ND,395252,384018,11234,39640,409933,553.6928180353295,361645,69.79771603044006
1962:Q2,2426156,786518,590011,522112,67899,4122,946,191439,1639638,73040,196080,648,0,69118,26370,410,31384,10954,84263,46288,37975,0,329923,423949,18257,90651,339112,0,14597,251334,0,246168,160237,65435,3084,11362,6050,2579,2587,2174822,ND,ND,ND,ND,397273,385804,11469,40483,415826,523.0125762695293,361875,69.30984156656042
1962:Q3,2471822,793692,594920,525874,69046,4191,979,193602,1678130,75396,201423,620,0,70279,27948,286,31852,10193,84956,46550,38406,0,348575,428804,18796,91563,342950,0,14768,257549,0,252324,164345,66626,3259,11883,6211,2599,2626,2214273,ND,ND,ND,ND,399183,387482,11701,41175,419178,528.2415956364262,361529,68.74821725356264
1962:Q4,2584246,803569,603604,533162,70442,4245,1011,194709,1780677,77148,208828,601,0,69232,26699,235,32087,10211,85161,46155,39006,0,431479,432848,20909,92398,347129,0,14944,265044,0,259748,168307,69344,3450,12308,6339,2629,2667,2319202,ND,ND,ND,ND,400596,388676,11920,42005,424193,546.7326963361018,364855,68.43229637521053
1963:Q1,2621873,813441,611427,539625,71802,4309,1046,196659,1808432,78347,215765,575,0,65500,23170,9,31665,10656,85257,45933,39324,0,444237,434808,22156,93355,353307,0,15125,267954,0,262564,171352,68935,3160,12575,6542,2679,2711,2353919,ND,ND,ND,ND,404450,392433,12017,42743,429107,548.562228634126,368273,68.24609682649988
1963:Q2,2663709,817641,612853,540004,72849,4372,1085,199331,1846068,77211,223030,551,0,64641,22610,0,31642,10389,87139,47046,40093,0,465592,434924,23306,94378,359985,0,15311,277471,0,271954,175801,72217,3756,13531,6649,2759,2758,2386238,ND,ND,ND,ND,406838,394765,12073,43466,433739,550.155387367821,364203,67.44450041110807
1963:Q3,2713000,830885,623306,549322,73984,4448,1125,202006,1882115,79930,227746,523,0,65002,23997,0,31128,9877,87304,46985,40319,0,485481,434896,24118,95473,366147,0,15495,284988,0,279333,180662,74362,3373,14161,6775,2849,2806,2428012,ND,ND,ND,ND,406162,394123,12039,44232,440601,551.0681736565924,368660,67.11182148175388
1963:Q4,2716670,839163,628622,553248,75374,4529,1168,204844,1877507,81977,234936,508,0,66655,24418,0,32094,10143,87856,47328,40528,0,457587,438464,24819,96635,372399,0,15670,293999,0,288207,185106,77870,3794,14502,6935,2939,2853,2422671,ND,ND,ND,ND,413165,400932,12233,44927,449437,539.0456491254588,368142,66.54194863786222
1964:Q1,2767487,843874,630274,553844,76430,4611,1211,207778,1923613,79273,240745,491,0,68234,25798,0,32475,9961,89168,48288,40880,0,486613,439357,26433,97719,379682,0,15898,297963,0,291997,188776,78041,3561,14538,7081,3068,2898,2469524,ND,ND,ND,ND,414604,402284,12320,45577,460392,536.3958790000801,365068,65.91531189287959
1964:Q2,2821452,860173,643749,565045,78704,4697,1252,210475,1961279,79831,247988,473,0,68446,25825,0,33112,9509,88453,47295,41158,0,501922,444665,27156,98806,387401,0,16138,307560,0,301501,193368,81812,4366,14718,7237,3118,2941,2513892,ND,ND,ND,ND,426442,413729,12713,46845,473838,530.5382864558798,371677,65.77830084329567
1964:Q3,2874619,869241,649814,569664,80150,4785,1294,213348,2005378,84639,253567,455,0,69385,25619,0,34138,9628,89905,48292,41613,0,518877,449034,28523,99913,394671,0,16408,314372,0,308218,198076,84142,3863,14749,7388,3168,2986,2560247,ND,ND,ND,ND,432798,419856,12942,47679,481587,531.6270220553674,371588,65.22932816537468
1964:Q4,2927550,884104,662499,579830,82669,4873,1334,215398,2043446,84785,261041,436,0,69875,24486,245,34854,10290,90360,48262,42098,0,530699,458149,28447,101051,401876,0,16727,323363,0,317126,202335,87352,5134,14765,7540,3198,3039,2604187,ND,ND,ND,ND,447207,433794,13413,49212,488675,532.9077798240879,377495,65.10442715968473
1965:Q1,2975323,895205,669614,585435,84179,4969,1375,219247,2080118,82442,268791,411,0,71018,27113,21,33771,10113,90861,48686,42175,0,544164,463182,29751,102149,410278,0,17070,326858,0,320493,205891,87645,4309,14930,7718,3268,3097,2648465,ND,ND,ND,ND,450855,437282,13573,49974,496020,533.9431046132381,379544,64.83110849197605
